"Time Stamp","Name","PTID","LBMP ($/MWHr)","Marginal Cost Losses ($/MWHr)","Marginal Cost Congestion ($/MWHr)"
"02/13/2018 01:30:00","NPX",61845,17.77,1.27,0.00
"02/13/2018 01:30:00","O H",61846,16.30,-0.20,0.00
"02/13/2018 01:30:00","PJM",61847,17.06,0.56,0.00
"02/13/2018 01:30:00","WEST",61752,16.67,0.16,0.00
"02/13/2018 01:35:00","CAPITL",61757,20.91,1.42,0.00
"02/13/2018 01:35:00","CENTRL",61754,19.93,0.45,0.00
"02/13/2018 01:35:00","DUNWOD",61760,21.10,1.62,0.00
"02/13/2018 01:35:00","GENESE",61753,19.68,0.19,0.00
"02/13/2018 01:35:00","H Q",61844,18.92,-0.57,0.00
"02/13/2018 01:35:00","HUD VL",61758,21.05,1.56,0.00
"02/13/2018 01:35:00","LONGIL",61762,21.80,2.32,0.00
"02/13/2018 01:35:00","MHK VL",61756,20.11,0.62,0.00
"02/13/2018 01:35:00","MILLWD",61759,21.14,1.66,0.00
"02/13/2018 01:35:00","N.Y.C.",61761,21.28,1.79,0.00
"02/13/2018 01:35:00","NORTH",61755,19.04,-0.45,0.00
"02/13/2018 01:35:00","NPX",61845,20.99,1.50,0.00
"02/13/2018 01:35:00","O H",61846,19.23,-0.25,0.00
"02/13/2018 01:35:00","PJM",61847,20.15,0.66,0.00
"02/13/2018 01:35:00","WEST",61752,19.66,0.17,0.00
"02/13/2018 01:40:00","CAPITL",61757,20.14,1.35,0.00
"02/13/2018 01:40:00","CENTRL",61754,19.26,0.47,0.00
"02/13/2018 01:40:00","DUNWOD",61760,20.33,1.54,0.00
"02/13/2018 01:40:00","GENESE",61753,19.00,0.21,0.00
"02/13/2018 01:40:00","H Q",61844,18.24,-0.55,0.00
"02/13/2018 01:40:00","HUD VL",61758,20.27,1.48,0.00
"02/13/2018 01:40:00","LONGIL",61762,21.01,2.22,0.00
"02/13/2018 01:40:00","MHK VL",61756,19.41,0.62,0.00
"02/13/2018 01:40:00","MILLWD",61759,20.35,1.56,0.00
"02/13/2018 01:40:00","N.Y.C.",61761,20.48,1.69,0.00
"02/13/2018 01:40:00","NORTH",61755,18.36,-0.43,0.00
"02/13/2018 01:40:00","NPX",61845,20.22,1.43,0.00
"02/13/2018 01:40:00","O H",61846,18.58,-0.21,0.00
"02/13/2018 01:40:00","PJM",61847,19.45,0.66,0.00
"02/13/2018 01:40:00","WEST",61752,19.00,0.21,0.00
"02/13/2018 01:45:00","CAPITL",61757,20.95,1.42,0.00
"02/13/2018 01:45:00","CENTRL",61754,19.98,0.45,0.00
"02/13/2018 01:45:00","DUNWOD",61760,21.13,1.60,0.00
"02/13/2018 01:45:00","GENESE",61753,19.70,0.18,0.00
"02/13/2018 01:45:00","H Q",61844,18.96,-0.57,0.00
"02/13/2018 01:45:00","HUD VL",61758,21.09,1.56,0.00
"02/13/2018 01:45:00","LONGIL",61762,21.83,2.30,0.00
"02/13/2018 01:45:00","MHK VL",61756,20.15,0.62,0.00
